scenario_id,question_key,tag,weight
S041,Q201,scalability-critical,1.0
S041,Q202,scalability-supporting,0.8
S041,Q203,scalability-supporting,0.8
S042,Q204,performance-critical,1.0
S042,Q205,performance-supporting,0.8
S042,Q206,performance-supporting,0.8
S043,Q207,security-critical,1.0
S043,Q208,security-supporting,0.8
S044,Q209,modifiability-critical,1.0
S044,Q210,deployability-supporting,0.8
S044,Q211,portability-supporting,0.8
S045,Q212,maintainability-critical,1.0
S045,Q213,modifiability-supporting,0.8
S045,Q214,maintainability-supporting,0.8
S046,Q215,maintainability-supporting,0.8
S046,Q216,deployability-supporting,0.8
S046,Q217,security-supporting,0.8
